PROP_ID,LOC_ID,SITE_ADDR,current_use_code,nearby_count,suggestion_1_code,suggestion_1_confidence,suggestion_1_reason,suggestion_1_description
"36-97","F_767094_2961310","29 JEFFERSON ST",199,127,102,0.316,"40/127 nearby properties (31.6%); Code: Condominium","Condominium"
"36-99","F_766990_2961328","37 JEFFERSON ST",1095,120,102,0.301,"36/120 nearby properties (30.1%); Code: Condominium","Condominium"
"36-106","F_766902_2961242","42 JEFFERSON ST",199,163,102,0.469,"76/163 nearby properties (46.9%); Code: Condominium","Condominium"
"36-109","F_767022_2961221","34 JEFFERSON ST",199,148,102,0.474,"70/148 nearby properties (47.4%); Code: Condominium","Condominium"
"36-111","F_767148_2961164","32 JEFFERSON ST",1094,170,102,0.484,"82/170 nearby properties (48.4%); Code: Condominium","Condominium"
"36-116","F_767213_2961024","747 CAMBRIDGE ST",013,164,102,0.492,"80/164 nearby properties (49.2%); Code: Condominium","Condominium"
"36-117","F_767172_2961054","757 CAMBRIDGE ST",013,179,102,0.470,"84/179 nearby properties (47.0%); Code: Condominium","Condominium"
"36-118","F_767129_2961042","761 CAMBRIDGE ST",031,167,102,0.512,"85/167 nearby properties (51.2%); Code: Condominium","Condominium"
"36-119","F_767082_2961035","777 CAMBRIDGE ST",013,165,102,0.504,"83/165 nearby properties (50.4%); Code: Condominium","Condominium"
"36-120","F_767029_2961043","781 CAMBRIDGE ST",199,154,102,0.470,"72/154 nearby properties (47.0%); Code: Condominium","Condominium"
"36-125","F_766837_2961076","819 CAMBRIDGE ST",031,147,102,0.554,"81/147 nearby properties (55.4%); Code: Condominium","Condominium"
"36-127","F_766864_2961150","12 HARDING ST",1094,153,102,0.525,"80/153 nearby properties (52.5%); Code: Condominium","Condominium"
"36-134","F_767337_2961169","8 JEFFERSON ST",199,143,102,0.480,"68/143 nearby properties (48.0%); Code: Condominium","Condominium"
"36-148","F_767574_2961352","44.5-46 WARREN ST",1094,177,102,0.790,"139/177 nearby properties (79.0%); Code: Condominium","Condominium"
"36-151","F_767556_2961249","32-38 WARREN ST",013,191,102,0.752,"143/191 nearby properties (75.2%); Code: Condominium","Condominium"
"36-157","F_767505_2961059","14-16 WARREN ST",013,216,102,0.744,"160/216 nearby properties (74.4%); Code: Condominium","Condominium"
"36-159","F_767480_2960976","695 CAMBRIDGE ST",031,277,102,0.777,"215/277 nearby properties (77.7%); Code: Condominium","Condominium"
"36-167","F_766533_2961113","883 CAMBRIDGE ST",0104,85,102,0.382,"32/85 nearby properties (38.2%); Code: Condominium","Condominium"
"36-168","F_766504_2961111","889 CAMBRIDGE ST",0104,83,102,0.394,"32/83 nearby properties (39.4%); Code: Condominium","Condominium"
"36-172","F_766932_2961353","43 JEFFERSON ST",199,128,102,0.290,"37/128 nearby properties (29.0%); Code: Condominium","Condominium"
"36-176","F_766726_2961079","847 CAMBRIDGE ST",0105,131,102,0.583,"76/131 nearby properties (58.3%); Code: Condominium","Condominium"
"36-185","F_766757_2961166","9 HARDING ST",199,113,102,0.372,"42/113 nearby properties (37.2%); Code: Condominium","Condominium"
"36-196","F_766944_2961057","801 CAMBRIDGE ST",031,138,102,0.443,"61/138 nearby properties (44.3%); Code: Condominium","Condominium"
"36-197","F_766982_2961051","795 CAMBRIDGE ST",013,161,102,0.488,"78/161 nearby properties (48.8%); Code: Condominium","Condominium"
"36-204","F_767447_2961227","29 WARREN ST",013,74,102,0.200,"14/74 nearby properties (20.0%); Code: Condominium","Condominium"
"36-210","F_766590_2961099","875 CAMBRIDGE ST",0104,77,102,0.339,"26/77 nearby properties (33.9%); Code: Condominium","Condominium"
"36-217","F_766691_2961109","6 HUNTING ST",013,111,102,0.384,"42/111 nearby properties (38.4%); Code: Condominium","Condominium"
"36-243","F_767317_2960973","725 CAMBRIDGE ST",013,141,102,0.515,"72/141 nearby properties (51.5%); Code: Condominium","Condominium"
"36-248","F_767372_2960964","719 CAMBRIDGE ST",345,196,102,0.664,"130/196 nearby properties (66.4%); Code: Condominium","Condominium"
"36-249","F_767283_2960980","731 CAMBRIDGE ST",013,153,102,0.519,"79/153 nearby properties (51.9%); Code: Condominium","Condominium"
"36-250","F_767539_2961107","16 WARREN ST",013,217,102,0.740,"160/217 nearby properties (74.0%); Code: Condominium","Condominium"
"36-258","F_766951_2961534","73 PORTER ST",199,82,104,0.254,"20/82 nearby properties (25.4%); Code: Two-Family","Two-Family"
"37-3","F_766876_2960449","102 BERKSHIRE ST",199,109,102,0.536,"58/109 nearby properties (53.6%); Code: Condominium","Condominium"
